S10	S11	S12	S13	S13prime	S14	S15	S16	S17	S18	S19	S1	S20	S20prime	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S3	S4	S5	S6	S7	S8	S9	gene.names
113	91	60	73	82	76	59	105	42	49	93	53	120	133	134	148	246	295	196	435	236	279	303	91	476	371	287	446	484	375	589	115	92	46	61	52	76	38	29	41	CAGL0A00165g
1055	966	742	690	1088	835	617	1025	624	595	754	138	1082	1344	1317	1461	1629	2234	896	2341	1691	1987	1357	410	2569	1469	1069	1990	1946	1135	2191	517	590	267	340	370	382	541	315	387	CAGL0A00187g
3282	2703	2477	1812	2820	1932	1506	2303	1054	999	1591	848	2130	2712	2126	2168	2791	3158	1341	3988	2006	2072	2051	2238	2882	2134	1737	2130	1896	1569	1928	2785	3064	1428	1820	2007	2147	2066	1401	1380	CAGL0A00209g
703	515	465	378	569	368	348	560	278	194	296	189	395	483	552	488	598	799	294	719	625	553	387	479	1128	484	323	1044	738	698	1049	614	701	312	397	374	451	396	258	279	CAGL0A00231g
1442	1066	1025	847	1122	843	597	964	505	451	718	315	943	1219	956	1095	1468	1882	707	2042	1203	1365	1066	799	1731	1185	945	1403	1175	916	1203	1118	1237	447	671	658	748	789	468	498	CAGL0A00253g
1273	919	869	673	1035	727	498	706	441	388	484	400	719	930	813	880	966	1528	577	1646	970	1033	758	938	1250	983	712	1142	948	807	1037	1223	1303	589	810	843	956	675	448	506	CAGL0A00275g
544	497	472	354	490	371	306	517	186	195	379	86	438	587	371	443	510	660	243	813	368	497	384	254	655	371	318	494	437	332	448	352	343	159	168	204	242	320	176	211	CAGL0A00297g
339	270	269	195	267	222	177	308	144	157	239	112	286	379	283	358	458	721	262	845	539	665	449	260	836	530	404	731	683	424	868	382	399	149	222	221	243	207	132	127	CAGL0A00319g
298	435	416	326	445	424	469	741	417	377	611	14	850	1104	893	1110	1491	2233	754	2296	1395	1487	1027	42	1875	1640	936	1757	1416	804	1443	79	96	26	41	40	61	121	68	89	CAGL0A00341g
5046	3001	2595	2882	4409	3257	1250	1889	1717	1571	1598	741	2081	2514	4040	4140	3274	8778	1597	3423	6333	5303	2349	1816	8597	3165	1744	6565	4967	2019	5382	2060	2308	1483	1637	1650	1773	2218	1387	2050	CAGL0A00363g
72	48	30	30	40	18	18	43	13	15	39	28	49	64	77	52	119	138	83	197	102	109	127	112	176	124	146	142	160	167	207	95	90	72	101	88	101	48	27	30	CAGL0A00385g
3210	2641	2377	1705	2605	1887	1361	2071	1093	927	1505	470	1779	2432	2169	2199	2467	3958	1235	3081	2569	2559	1673	1240	3509	2347	1423	2928	2293	1307	2563	1694	1677	779	929	1294	1298	2052	1129	1395	CAGL0A00407g
2097	1676	1459	1039	1490	959	889	1328	622	465	938	912	1183	1450	1204	1114	1555	2239	829	2221	1437	1394	1162	2161	2153	1299	1164	1767	1445	1116	1618	2494	2854	1407	1687	1712	1892	1480	939	936	CAGL0A00429g
917	1149	725	561	945	672	607	872	480	441	577	272	791	983	922	1060	1247	1501	680	1963	1126	1414	1031	615	1751	920	863	1308	1337	939	1443	686	805	513	441	524	560	1145	491	470	CAGL0A00451g
660	654	486	465	659	497	471	694	374	378	484	272	762	912	848	965	1012	1476	519	1476	924	1143	784	868	1461	920	712	1210	1172	737	1180	974	1199	488	604	576	674	490	301	321	CAGL0A00473g
35235	21708	23756	20517	33584	23234	16857	29600	14966	14463	20440	10316	28173	36279	34473	39623	58213	62382	34145	100291	51675	47782	55123	25004	94102	29994	37828	66788	56908	56368	65077	33639	39759	16845	23541	20427	23909	16963	11689	13565	CAGL0A00495g
1910	1709	1283	1468	1900	1748	1153	1789	947	910	1190	132	1956	2452	1939	2250	2891	2934	1442	3361	1784	2147	2364	690	2881	2632	1654	2050	2112	1802	2246	1093	1086	337	430	573	615	1017	522	741	CAGL0A00517g
1054	962	933	629	943	645	679	1179	493	436	889	199	1075	1325	1024	1084	1617	1857	833	3051	1326	1365	1044	554	2017	1259	942	1554	1438	1003	1717	626	669	333	499	491	628	669	409	440	CAGL0A00539g
264	194	177	137	226	160	127	214	127	132	182	37	226	284	284	309	313	512	164	419	382	363	247	136	557	271	213	416	321	169	329	124	155	69	114	102	155	147	95	89	CAGL0A00561g
214	200	186	152	209	155	116	191	106	91	144	105	203	247	252	304	419	513	237	681	393	428	337	274	523	305	272	421	454	367	516	241	279	164	220	201	233	183	108	116	CAGL0A00583g
491	396	342	249	359	282	208	318	156	159	284	108	371	494	351	370	566	730	292	789	548	559	520	277	801	686	457	749	625	452	712	432	511	163	229	265	296	323	187	194	CAGL0A00605g
